学校,学院,专业类型,招生人数,学费,城市,性质,项目ID,详情页,大学ID,大学名称,学院专业列表,学院招生年份
北京大学,光华管理学院,MBA,"全日制:40人,非全日制:772人",5.9万-82.8万,"北京,美国","985,211,双一流",129,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=129,6,北京大学,MAud、MPAcc、MBA、EMBA,2026
北京大学,深圳研究生院(汇丰）,MBA,非全日制:300人,5.9万-82.8万,深圳,"985,211,双一流",131,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=131,6,北京大学,MBA、EMBA,2026
清华大学,经济管理学院,MBA,"全日制:50人,非全日制:160人",3.0万-89.0万,北京,"985,211,双一流",127,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=127,8,清华大学,MBA、EMBA、MPAcc,2026
清华大学,五道口金融学院,MBA,非全日制:110人,3.0万-89.0万,"北京,美国","985,211,双一流",126,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=126,8,清华大学,MBA、EMBA,2026
清华大学,清华大学深圳国际研究生院,MBA,非全日制:55人,3.0万-89.0万,深圳,"985,211,双一流",128,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=128,8,清华大学,MBA、MEM、MPAcc,2026
北京航空航天大学,经济管理学院,MBA,非全日制:400人,2.4万-29.8万,北京,"985,211,双一流",136,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=136,11,北京航空航天大学,MBA、MEM、MPAcc、EMBA,2026
北京理工大学,管理学院,MBA,"全日制:120人,非全日制:330人",11.6万-30.0万,北京,"985,211,双一流",137,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=137,12,北京理工大学,MBA、MPAcc、MEM、EMBA,2026
北京理工大学,珠海校区,MBA,非全日制:70人,11.6万-30.0万,珠海,"985,211,双一流",157401,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157401,12,北京理工大学,MBA、EMBA,2026
中国农业大学,经济管理学院,MBA,非全日制:230人,3.6万-12.8万,北京,"985,211,双一流",138,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=138,19,中国农业大学,MPAcc、MBA,2026
北京师范大学,经济与工商管理学院,MBA,非全日制:329人,5.0万-27.5万,北京,"985,211,双一流",134,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=134,21,北京师范大学,MBA,2026
北京师范大学,湾区国际商学院,MBA,非全日制:30人,5.0万-27.5万,广东省珠海,"985,211,双一流",3900,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=3900,21,北京师范大学,MBA、MPAcc,2025
中央民族大学,管理学院,MBA,非全日制:100人,5.0万-13.8万,北京,"985,211,双一流",139,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=139,30,中央民族大学,MPA、MTA、MPAcc、MBA,2026
中国人民大学,商学院,MBA,"全日制:33人,非全日制:346人",3.6万-53.0万,北京,"985,211,双一流",132,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=132,7,中国人民大学,EMBA、MPAcc、MBA,2026
北京交通大学,经济管理学院,MBA,"全日制:56人,非全日制:180人",1.6万-22.8万,北京,"211,双一流",141,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=141,9,北京交通大学,MBA、MPAcc、MAud、MEM,2026
北京工业大学,经济与管理学院,MBA,非全日制:144人,1.6万-11.6万,北京,"211,双一流",142,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=142,10,北京工业大学,MPAcc、MPA、MBA,2026
北京科技大学,经济管理学院,MBA,非全日制:202人,2.0万-30.0万,北京,"211,双一流",140,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=140,13,北京科技大学,MBA、EMBA、MPAcc、MEM,2026
北方工业大学,经济管理学院,MBA,"全日制:50人,非全日制:57人",1.4万-8.8万,北京,,158,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=158,14,北方工业大学,MBA、MPAcc,2026
北京化工大学,经管学院专硕中心,MBA,非全日制:100人,3.0万-7.8万,北京,"211,双一流",2800,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=2800,15,北京化工大学,MBA、MEM、MPAcc,2026
北京工商大学,商学院,MBA,"全日制:90人,非全日制:36人",2.0万-12.0万,北京,,156,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=156,16,北京工商大学,MBA、MTA、MPAcc、MAud、MEM,2026
北京邮电大学,经济管理学院,MBA,非全日制:210人,5.6万-13.8万,北京,"211,双一流",144,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=144,17,北京邮电大学,MBA、MPAcc、MEM、MPA,2026
北京建筑大学,城市经济与管理学院,MBA,非全日制:48人,2.8万-7.8万,北京,,157,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157,18,北京建筑大学,MBA、MEM,2026
北京林业大学,经济管理学院,MBA,非全日制:100人,2.6万-9.0万,北京,"211,双一流",148,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=148,20,北京林业大学,MPAcc、MBA,2026
北京外国语大学,国际商学院,MBA,全日制:50人,7.0万-19.8万,北京,"211,双一流",154,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=154,22,北京外国语大学,MBA、MPAcc,2026
北京第二外国语学院,MTA/MBA教育中心,MBA,非全日制:54人,6.0万-8.0万,北京,,160,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=160,23,北京第二外国语学院,MBA、MTA,2025
北京第二外国语学院,商学院,MBA,非全日制:70人,6.0万-8.0万,北京,,190,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=190,23,北京第二外国语学院,MPAcc、MBA,2026
中国传媒大学,经济与管理学院,MBA,非全日制:165人,5.8万-21.8万,北京,"211,双一流",149,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=149,24,中国传媒大学,MBA、MPAcc,2026
中央财经大学,商学院,MBA,"非全日制:472人,全日制:20人",4.0万-25.8万,北京,"211,双一流",145,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=145,25,中央财经大学,MBA,2026
中央财经大学,金融学院,MBA,非全日制:95人,4.0万-25.8万,北京,"211,双一流",157519,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157519,25,中央财经大学,MBA,2026
对外经济贸易大学,国际商学院,MBA,非全日制:210人,4.0万-36.0万,北京,"211,双一流",150,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=150,26,对外经济贸易大学,MBA、MPAcc、MAud、EMBA,2026
北京物资学院,商学院,MBA,"全日制:35人,非全日制:32人",2.4万-8.0万,北京,,163,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=163,27,北京物资学院,MBA、MPA,2026
首都经济贸易大学,工商管理学院,MBA,"全日制:165人,非全日制:100人",3.9万-12.8万,北京,,155,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=155,28,首都经济贸易大学,MBA,2026
北京体育大学,不区分院系所,MBA,"全日制:30人,非全日制:50人",8.0万-19.6万,北京,"211,双一流",1915,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1915,29,北京体育大学,MBA,2026
中国政法大学,商学院,MBA,"全日制:30人,非全日制:200人",5.5万-19.8万,"北京,海南","211,双一流",147,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=147,31,中国政法大学,MBA、MAud,2026
华北电力大学,经济与管理学院,MBA,非全日制:300人,2.4万-12.0万,北京,"211,双一流",143,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=143,32,华北电力大学,MPAcc、MEM、MBA,2026
北京信息科技大学,商学院,MBA,"全日制:20人,非全日制:58人",2.1万-8.0万,北京市昌平区,,159,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=159,33,北京信息科技大学,MPAcc、MBA,2026
中国矿业大学(北京),MBA中心(管理学院),MBA,"全日制:47人,非全日制:120人",2.4万-10.8万,北京,"211,双一流",152,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=152,34,中国矿业大学(北京),MPAcc、MEM、MBA,2026
中国石油大学(北京),经济管理学院,MBA,"全日制:87人,非全日制:102人",1.4万-12.0万,北京,"211,双一流",151,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=151,35,中国石油大学(北京),MPAcc、MBA,2026
中国石油大学(北京),克拉玛依校区,MBA,非全日制:11人,1.4万-12.0万,北京,"211,双一流",1856,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=1856,35,中国石油大学(北京),MPAcc、MEM、MBA,2026
中国地质大学(北京),经济管理学院,MBA,"全日制:28人,非全日制:25人",2.4万-11.7万,北京,"211,双一流",153,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=153,36,中国地质大学(北京),MBA、MPA、MPAcc,2026
中国科学院大学,经济与管理学院,MBA,"全日制:100人,非全日制:195人",2.4万-19.8万,北京市,双一流,161,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=161,37,中国科学院大学,MBA,2026
中国社会科学院大学,商学院,MBA,"全日制:40人,非全日制:40人",4.5万-15.0万,北京市,,162,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=162,38,中国社会科学院大学,MPAcc、MBA,2026
商务部国际贸易经济合作研究院,不区分院系所,MBA,"全日制:70人,非全日制:57人",11.6万-19.6万,北京市,,164,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=164,39,商务部国际贸易经济合作研究院,MBA,2026
长江商学院,不区分院系所,MBA,非全日制:227人,59.8万-99.8万,"北京,上海,深圳",,588,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=588,40,长江商学院,MBA、EMBA,2026
中国劳动关系学院,劳动关系与人力资源学院,MBA,非全日制:40人,3.0万-9.0万,北京市,,157404,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=157404,46,中国劳动关系学院,MPAcc、MBA,2026
北京联合大学,管理学院,MBA,全日制:19人,2.0万-5.2万,北京,,189,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=189,48,北京联合大学,MPAcc、MBA,2026
南开大学,商学院,MBA,非全日制:370人,3.0万-32.8万,天津,"985,211,双一流",772,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=772,55,南开大学,MBA、MPAcc、MLIS、MEM、EMBA,2026
天津大学,管理与经济学部,MBA,"全日制:44人,非全日制:450人",8.0万-31.8万,天津,"985,211,双一流",771,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=771,56,天津大学,MBA、MPAcc、MEM、MPA、EMBA,2026
天津科技大学,经济与管理学院,MBA,非全日制:36人,3.2万-7.2万,天津,,777,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=777,57,天津科技大学,MEM、MPAcc、MPA、MBA,2026
天津工业大学,经济与管理学院,MBA,"非全日制:84人,全日制:10人",2.5万-8.0万,天津,双一流,779,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=779,58,天津工业大学,MBA、MEM、MPAcc,2026
中国民航大学,经济与管理学院,MBA,非全日制:47人,3.0万-7.2万,天津,,775,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=775,59,中国民航大学,MPAcc、MPA、MBA,2026
天津理工大学,管理学院,MBA,非全日制:30人,3.0万-6.6万,天津,,787,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=787,60,天津理工大学,MBA、MPAcc、MEM,2026
天津师范大学,管理学院,MBA,非全日制:50人,3.6万-6.5万,天津,,774,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=774,61,天津师范大学,MLIS、MBA,2026
天津商业大学,管理学院,MBA,非全日制:38人,2.5万-6.5万,天津,,778,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=778,62,天津商业大学,MBA,2026
天津财经大学,MBA教育中心,MBA,"全日制:25人,非全日制:118人",2.0万-11.8万,天津,,776,https://webapp.hd.mbadashi.com/chooseSchool/chooseSchoolDetails?id=776,63,天津财经大学,MBA、EMBA,2026
