项目ID,请求专业类型,学校,学院,项目名称,标准项目名称,方向,项目类型,年份,录取分析标题,总成绩计算方式,分数段,拟录人数,进入复试人数,分段录取率,来源网站,更新时间
129,MBA,北京大学,光华管理学院,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,190-199,0,1,0.0,MBA大师,2026-03-08 11:23:33
129,MBA,北京大学,光华管理学院,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,200-209,0,5,0.0,MBA大师,2026-03-08 11:23:33
129,MBA,北京大学,光华管理学院,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,210-219,0,9,0.0,MBA大师,2026-03-08 11:23:33
129,MBA,北京大学,光华管理学院,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,220-229,0,7,0.0,MBA大师,2026-03-08 11:23:33
129,MBA,北京大学,光华管理学院,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,230-239,0,5,0.0,MBA大师,2026-03-08 11:23:33
129,MBA,北京大学,光华管理学院,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,240以上,0,3,0.0,MBA大师,2026-03-08 11:23:33
131,MBA,北京大学,深圳研究生院(汇丰）,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,0-150,57,0,0.0,MBA大师,2026-03-08 11:23:33
131,MBA,北京大学,深圳研究生院(汇丰）,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,230-239,2,0,0.0,MBA大师,2025-06-27 15:59:43
131,MBA,北京大学,深圳研究生院(汇丰）,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,220-229,2,0,0.0,MBA大师,2025-06-27 15:59:43
131,MBA,北京大学,深圳研究生院(汇丰）,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,210-219,6,0,0.0,MBA大师,2025-06-27 15:59:43
131,MBA,北京大学,深圳研究生院(汇丰）,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,200-209,9,0,0.0,MBA大师,2025-06-27 15:59:43
131,MBA,北京大学,深圳研究生院(汇丰）,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,190-199,6,0,0.0,MBA大师,2025-06-27 15:59:43
131,MBA,北京大学,深圳研究生院(汇丰）,MBA,MBA,nan,全日制,2025,MBA(全),总成绩=初试成绩÷3*50% +复试成绩*50%,180-189,3,0,0.0,MBA大师,2025-06-27 15:59:43
131,MBA,北京大学,深圳研究生院(汇丰）,MBA_工商管理硕士,工商管理硕士,nan,非全日制,2025,MBA(非全),总成绩=初试成绩÷3*50% +复试成绩*50%,210-219,22,0,0.0,MBA大师,2025-06-27 15:57:23
131,MBA,北京大学,深圳研究生院(汇丰）,MBA_工商管理硕士,工商管理硕士,nan,非全日制,2025,MBA(非全),总成绩=初试成绩÷3*50% +复试成绩*50%,200-209,18,0,0.0,MBA大师,2025-06-27 15:57:23
131,MBA,北京大学,深圳研究生院(汇丰）,MBA_工商管理硕士,工商管理硕士,nan,非全日制,2025,MBA(非全),总成绩=初试成绩÷3*50% +复试成绩*50%,190-199,25,0,0.0,MBA大师,2025-06-27 15:57:23
131,MBA,北京大学,深圳研究生院(汇丰）,MBA_工商管理硕士,工商管理硕士,nan,非全日制,2025,MBA(非全),总成绩=初试成绩÷3*50% +复试成绩*50%,180-189,34,0,0.0,MBA大师,2025-06-27 15:57:23
131,MBA,北京大学,深圳研究生院(汇丰）,MBA_工商管理硕士,工商管理硕士,nan,非全日制,2025,MBA(非全),总成绩=初试成绩÷3*50% +复试成绩*50%,170-179,34,0,0.0,MBA大师,2026-03-08 11:23:33
131,MBA,北京大学,深圳研究生院(汇丰）,MBA_工商管理硕士,工商管理硕士,nan,非全日制,2025,MBA(非全),总成绩=初试成绩÷3*50% +复试成绩*50%,160-169,40,0,0.0,MBA大师,2026-03-08 11:23:33
131,MBA,北京大学,深圳研究生院(汇丰）,MBA_工商管理硕士,工商管理硕士,nan,非全日制,2025,MBA(非全),总成绩=初试成绩÷3*50% +复试成绩*50%,150-159,40,0,0.0,MBA大师,2026-03-08 11:23:33
127,MBA,清华大学,经济管理学院,清华全球MBA项目,清华全球MBA项目,nan,全日制,2025,MBA(全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,190-199,2,10,20.0,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华全球MBA项目,清华全球MBA项目,nan,全日制,2025,MBA(全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,200-209,14,28,50.0,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华全球MBA项目,清华全球MBA项目,nan,全日制,2025,MBA(全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,210-219,11,23,47.83,MBA大师,2025-06-24 16:07:34
127,MBA,清华大学,经济管理学院,清华全球MBA项目,清华全球MBA项目,nan,全日制,2025,MBA(全),总成绩（满分600分）=初试成绩（满分300分）+面试成绩（满分100分）*3,220-229,11,14,78.57,MBA大师,2025-06-24 16:07:34
